value,datetime,datetime_utc,tz_time,geo_id,geo_name
335851.0,2025-01-05T19:00:00.000+01:00,2025-01-05T18:00:00Z,2025-01-05T18:00:00.000Z,8741,Península
343165.0,2025-01-05T20:00:00.000+01:00,2025-01-05T19:00:00Z,2025-01-05T19:00:00.000Z,8741,Península
346234.0,2025-01-05T21:00:00.000+01:00,2025-01-05T20:00:00Z,2025-01-05T20:00:00.000Z,8741,Península
328654.0,2025-01-05T22:00:00.000+01:00,2025-01-05T21:00:00Z,2025-01-05T21:00:00.000Z,8741,Península
304054.0,2025-01-05T23:00:00.000+01:00,2025-01-05T22:00:00Z,2025-01-05T22:00:00.000Z,8741,Península
278684.0,2025-01-06T00:00:00.000+01:00,2025-01-05T23:00:00Z,2025-01-05T23:00:00.000Z,8741,Península
256218.0,2025-01-06T01:00:00.000+01:00,2025-01-06T00:00:00Z,2025-01-06T00:00:00.000Z,8741,Península
238617.0,2025-01-06T02:00:00.000+01:00,2025-01-06T01:00:00Z,2025-01-06T01:00:00.000Z,8741,Península
228073.0,2025-01-06T03:00:00.000+01:00,2025-01-06T02:00:00Z,2025-01-06T02:00:00.000Z,8741,Península
223004.0,2025-01-06T04:00:00.000+01:00,2025-01-06T03:00:00Z,2025-01-06T03:00:00.000Z,8741,Península
224203.0,2025-01-06T05:00:00.000+01:00,2025-01-06T04:00:00Z,2025-01-06T04:00:00.000Z,8741,Península
230791.0,2025-01-06T06:00:00.000+01:00,2025-01-06T05:00:00Z,2025-01-06T05:00:00.000Z,8741,Península
240924.0,2025-01-06T07:00:00.000+01:00,2025-01-06T06:00:00Z,2025-01-06T06:00:00.000Z,8741,Península
252711.0,2025-01-06T08:00:00.000+01:00,2025-01-06T07:00:00Z,2025-01-06T07:00:00.000Z,8741,Península
272750.0,2025-01-06T09:00:00.000+01:00,2025-01-06T08:00:00Z,2025-01-06T08:00:00.000Z,8741,Península
289170.0,2025-01-06T10:00:00.000+01:00,2025-01-06T09:00:00Z,2025-01-06T09:00:00.000Z,8741,Península
297463.0,2025-01-06T11:00:00.000+01:00,2025-01-06T10:00:00Z,2025-01-06T10:00:00.000Z,8741,Península
297918.0,2025-01-06T12:00:00.000+01:00,2025-01-06T11:00:00Z,2025-01-06T11:00:00.000Z,8741,Península
301475.0,2025-01-06T13:00:00.000+01:00,2025-01-06T12:00:00Z,2025-01-06T12:00:00.000Z,8741,Península
296316.0,2025-01-06T14:00:00.000+01:00,2025-01-06T13:00:00Z,2025-01-06T13:00:00.000Z,8741,Península
284012.0,2025-01-06T15:00:00.000+01:00,2025-01-06T14:00:00Z,2025-01-06T14:00:00.000Z,8741,Península
282461.0,2025-01-06T16:00:00.000+01:00,2025-01-06T15:00:00Z,2025-01-06T15:00:00.000Z,8741,Península
292659.0,2025-01-06T17:00:00.000+01:00,2025-01-06T16:00:00Z,2025-01-06T16:00:00.000Z,8741,Península
319758.0,2025-01-06T18:00:00.000+01:00,2025-01-06T17:00:00Z,2025-01-06T17:00:00.000Z,8741,Península
335029.0,2025-01-06T19:00:00.000+01:00,2025-01-06T18:00:00Z,2025-01-06T18:00:00.000Z,8741,Península
346877.0,2025-01-06T20:00:00.000+01:00,2025-01-06T19:00:00Z,2025-01-06T19:00:00.000Z,8741,Península
349413.0,2025-01-06T21:00:00.000+01:00,2025-01-06T20:00:00Z,2025-01-06T20:00:00.000Z,8741,Península
334080.0,2025-01-06T22:00:00.000+01:00,2025-01-06T21:00:00Z,2025-01-06T21:00:00.000Z,8741,Península
303824.0,2025-01-06T23:00:00.000+01:00,2025-01-06T22:00:00Z,2025-01-06T22:00:00.000Z,8741,Península
278464.0,2025-01-07T00:00:00.000+01:00,2025-01-06T23:00:00Z,2025-01-06T23:00:00.000Z,8741,Península
257973.0,2025-01-07T01:00:00.000+01:00,2025-01-07T00:00:00Z,2025-01-07T00:00:00.000Z,8741,Península
245482.0,2025-01-07T02:00:00.000+01:00,2025-01-07T01:00:00Z,2025-01-07T01:00:00.000Z,8741,Península
241077.0,2025-01-07T03:00:00.000+01:00,2025-01-07T02:00:00Z,2025-01-07T02:00:00.000Z,8741,Península
242624.0,2025-01-07T04:00:00.000+01:00,2025-01-07T03:00:00Z,2025-01-07T03:00:00.000Z,8741,Península
251870.0,2025-01-07T05:00:00.000+01:00,2025-01-07T04:00:00Z,2025-01-07T04:00:00.000Z,8741,Península
